invoice_id,subscription_id,invoiced_amount,invoice_date
inv_90000,sub_53528,892.85,2023-07-06
inv_90001,sub_52979,1225.69,2024-06-19
inv_90002,sub_53795,1431.83,2023-04-07
inv_90003,sub_50892,1032.46,2023-04-10
inv_90004,sub_50000,301.29,2023-12-01
inv_90005,sub_53720,789.39,2024-04-10
inv_90006,sub_51905,1304.31,2023-03-29
inv_90007,sub_50232,1342.69,2023-04-05
inv_90008,sub_50680,105.64,2024-12-03
inv_90009,sub_51039,1082.56,2024-11-19
inv_90010,sub_52377,359.75,2024-05-02
inv_90011,sub_52489,552.77,2024-01-21
inv_90012,sub_50924,792.12,2023-11-06
inv_90013,sub_51319,389.8,2023-10-10
inv_90014,sub_53529,598.62,2023-04-27
inv_90015,sub_52539,637.67,2023-06-27
inv_90016,sub_53387,304.42,2024-11-26
inv_90017,sub_50193,33.4,2024-03-30
inv_90018,sub_50954,598.61,2024-04-21
inv_90019,sub_53194,1307.75,2023-12-19
inv_90020,sub_51959,1399.74,2023-02-06
inv_90021,sub_52122,123.25,2023-03-07
inv_90022,sub_52846,816.4,2024-12-27
inv_90023,sub_50050,1411.97,2024-04-11
inv_90024,sub_52027,1319.85,2024-07-07
inv_90025,sub_50927,337.05,2024-03-13
inv_90026,sub_52156,293.91,2023-03-07
inv_90027,sub_51190,1045.26,2025-01-01
inv_90028,sub_51240,606.86,2023-12-30
inv_90029,sub_53942,559.3,2023-12-25
inv_90030,sub_53655,348.79,2023-03-05
inv_90032,sub_51680,1301.91,2024-07-26
inv_90033,sub_52494,1063.13,2023-11-14
inv_90034,sub_53474,1407.89,2024-04-30
inv_90035,sub_51307,677.83,2023-03-14
inv_90036,sub_51119,794.61,2023-03-06
inv_90037,sub_50720,1498.93,2023-12-25
inv_90038,sub_50538,937.26,2024-11-26
inv_90039,sub_51660,530.74,2024-09-15
inv_90040,sub_53356,753.47,2023-09-14
inv_90041,sub_51128,688.17,2023-01-10
inv_90042,sub_50269,1007.03,2023-12-08
inv_90043,sub_52258,977.01,2024-03-03
inv_90044,sub_52155,1295.59,2023-10-17
inv_90045,sub_53791,874.91,2023-06-25
inv_90046,sub_51821,1207.27,2024-01-05
inv_90047,sub_51049,509.84,2023-06-23
inv_90048,sub_53571,804.02,2023-06-02
inv_90049,sub_51123,63.23,2023-05-22
inv_90050,sub_50771,67.88,2024-06-17
inv_90051,sub_53008,883.94,2023-03-16
inv_90052,sub_50558,259.9,2024-08-17
inv_90053,sub_51155,307.95,2024-03-26
inv_90054,sub_50430,1456.23,2023-11-17
inv_90055,sub_50148,178.44,2023-06-02
inv_90056,sub_53434,1330.9,2023-09-10
inv_90057,sub_52341,461.75,2023-11-13
inv_90058,sub_52715,213.04,2024-12-07
inv_90059,sub_52414,103.04,2024-08-05
inv_90060,sub_51239,79.89,2024-03-28
inv_90061,sub_53386,734.62,2023-09-24
inv_90063,sub_52323,278.9,2024-06-05
inv_90064,sub_50829,227.92,2024-08-02
inv_90065,sub_51515,1230.93,2023-04-25
inv_90066,sub_50024,894.05,2024-03-12
inv_90067,sub_53631,1056.22,2024-12-28
inv_90068,sub_51849,65.65,2023-07-01
inv_90069,sub_53633,458.25,2023-03-07
inv_90070,sub_50300,1134.08,2024-08-14
inv_90071,sub_53534,921.35,2023-11-02
inv_90072,sub_52955,696.71,2024-07-24
inv_90073,sub_53143,690.44,2024-02-29
inv_90074,sub_50585,919.92,2024-04-28
inv_90075,sub_51117,1123.81,2024-02-03
inv_90076,sub_51806,918.06,2023-01-03
inv_90077,sub_52846,1338.42,2023-05-31
inv_90078,sub_50483,1403.55,2024-05-12
inv_90079,sub_53453,840.79,2023-03-17
inv_90080,sub_52653,887.17,2024-11-26
inv_90081,sub_53862,221.75,2024-09-10
inv_90082,sub_53217,61.34,2023-02-26
inv_90083,sub_51656,1116.2,2024-10-28
inv_90084,sub_51036,1425.48,2024-02-07
inv_90085,sub_51190,283.0,2024-05-26
inv_90086,sub_53889,387.03,2024-01-10
inv_90087,sub_52708,674.2,2024-02-01
inv_90088,sub_50781,1020.35,2024-01-10
inv_90089,sub_52100,1280.55,2024-04-15
inv_90090,sub_50790,163.76,2023-03-29
inv_90091,sub_53566,338.33,2023-10-23
inv_90092,sub_52983,925.85,2023-11-18
inv_90094,sub_51309,623.5,2023-10-25
inv_90095,sub_51279,1499.58,2023-05-03
inv_90096,sub_50841,262.7,2024-07-03
inv_90097,sub_50452,1312.5,2024-01-18
inv_90098,sub_53818,591.59,2023-07-27
inv_90099,sub_51720,760.11,2023-08-13
inv_90100,sub_53597,368.64,2024-11-08
inv_90101,sub_52969,235.02,2024-12-28
inv_90102,sub_50140,1068.54,2024-03-16
inv_90103,sub_50015,1285.21,2023-10-27
inv_90104,sub_51581,1030.64,2024-11-18
inv_90105,sub_51810,1462.75,2023-02-04
inv_90106,sub_51925,217.27,2024-06-25
inv_90107,sub_53808,1303.21,2023-02-16
inv_90108,sub_53104,1079.33,2024-06-10
inv_90109,sub_51956,943.6,2024-09-11
inv_90110,sub_51979,171.48,2024-05-14
inv_90111,sub_53803,915.32,2023-01-23
inv_90112,sub_52214,1201.99,2024-07-24
inv_90113,sub_50333,491.65,2024-12-16
inv_90114,sub_50654,745.54,2024-12-14
inv_90115,sub_50434,127.05,2023-06-16
inv_90116,sub_52020,495.88,2023-01-15
inv_90117,sub_51907,958.69,2023-07-29
inv_90118,sub_53967,1141.34,2023-03-26
inv_90119,sub_53486,1499.26,2023-09-02
inv_90120,sub_50767,72.55,2023-02-28
inv_90121,sub_53278,1308.37,2024-02-12
inv_90122,sub_53445,389.87,2023-06-16
inv_90123,sub_53439,272.73,2024-02-01
inv_90125,sub_52630,1266.37,2024-08-18
inv_90126,sub_53303,1228.87,2024-07-30
inv_90127,sub_52551,1405.49,2023-03-23
inv_90128,sub_53275,174.54,2023-03-26
inv_90129,sub_50868,58.99,2023-08-23
inv_90130,sub_51722,593.56,2024-09-05
inv_90131,sub_52884,619.28,2023-04-23
inv_90132,sub_52369,670.65,2024-03-17
inv_90133,sub_53223,1457.83,2024-03-24
inv_90134,sub_52147,119.52,2023-06-27
inv_90135,sub_51643,581.91,2023-04-07
inv_90136,sub_53103,420.84,2024-03-19
inv_90137,sub_53256,827.61,2024-02-21
inv_90138,sub_52719,1040.54,2024-08-17
inv_90139,sub_52019,80.75,2024-03-31
inv_90140,sub_50881,1399.18,2023-04-24
inv_90141,sub_53316,224.31,2023-03-16
inv_90142,sub_52735,1095.23,2023-05-24
inv_90143,sub_50348,1221.15,2023-05-07
inv_90144,sub_53166,939.14,2024-03-30
inv_90145,sub_53643,983.2,2023-01-20
inv_90146,sub_52485,1268.73,2023-06-07
inv_90147,sub_51878,344.06,2024-03-15
inv_90148,sub_51945,320.95,2023-09-16
inv_90149,sub_53947,859.83,2023-06-03
inv_90150,sub_52269,1261.46,2023-05-28
inv_90151,sub_51766,742.55,2024-02-29
inv_90152,sub_53010,156.54,2024-04-03
inv_90153,sub_52048,1269.33,2023-01-10
inv_90154,sub_51327,464.35,2023-12-23
inv_90156,sub_50524,45.57,2023-04-19
inv_90157,sub_50518,1109.84,2024-06-08
inv_90158,sub_53345,724.78,2023-09-12
inv_90159,sub_51924,38.7,2023-10-04
inv_90160,sub_51090,935.54,2024-05-29
inv_90161,sub_51868,736.38,2024-12-18
inv_90162,sub_52828,563.18,2024-10-25
inv_90163,sub_53515,1441.13,2023-05-09
inv_90164,sub_53110,1420.06,2024-05-19
inv_90165,sub_52272,1201.13,2023-05-29
inv_90166,sub_52815,549.02,2024-06-02
inv_90167,sub_50957,338.04,2024-07-30
inv_90168,sub_52805,852.91,2024-08-28
inv_90169,sub_52013,1333.42,2024-11-12
inv_90170,sub_52368,336.61,2024-05-28
inv_90171,sub_51722,1360.95,2023-09-30
inv_90172,sub_50650,194.02,2023-03-11
inv_90173,sub_50330,1366.3,2023-05-17
inv_90174,sub_52896,1212.87,2023-03-10
inv_90175,sub_50028,889.81,2023-03-09
inv_90176,sub_52964,219.84,2024-12-29
inv_90177,sub_50618,729.23,2023-11-19
inv_90178,sub_51546,994.33,2023-12-26
inv_90179,sub_50782,918.21,2024-07-27
inv_90180,sub_52878,335.0,2024-05-17
inv_90181,sub_51752,1078.7,2024-10-05
inv_90182,sub_51913,357.87,2023-06-10
inv_90183,sub_51726,1136.41,2023-11-11
inv_90184,sub_50663,664.78,2024-03-01
inv_90185,sub_53159,686.26,2023-08-05
inv_90187,sub_53359,319.17,2024-11-05
inv_90188,sub_50560,738.98,2024-09-20
inv_90189,sub_52760,416.21,2023-10-17
inv_90190,sub_50153,1496.73,2024-04-13
inv_90191,sub_50296,1056.05,2024-02-20
inv_90192,sub_50580,1155.73,2024-05-11
inv_90193,sub_51641,665.27,2024-05-07
inv_90194,sub_52164,1076.31,2024-12-14
inv_90195,sub_51259,792.17,2023-01-29
inv_90196,sub_52624,486.74,2023-09-14
inv_90197,sub_53973,194.21,2023-03-23
inv_90198,sub_52901,54.52,2024-02-16
inv_90199,sub_51611,1369.14,2023-02-15
inv_90200,sub_52966,247.15,2024-12-19
inv_90201,sub_53525,754.1,2024-09-22
inv_90202,sub_51243,513.65,2023-07-27
inv_90203,sub_52979,544.99,2024-02-25
inv_90204,sub_50026,909.47,2023-02-23
inv_90205,sub_50311,992.68,2024-06-16
inv_90206,sub_50058,615.33,2023-03-15
inv_90207,sub_50239,1328.38,2024-10-03
inv_90208,sub_51387,1300.92,2024-01-09
inv_90209,sub_52812,21.88,2023-07-28
inv_90210,sub_52627,610.91,2023-08-11
inv_90211,sub_52794,1176.81,2024-03-16
inv_90212,sub_50702,1469.64,2024-05-01
inv_90213,sub_51320,52.06,2024-10-08
inv_90214,sub_51203,330.14,2023-07-09
inv_90215,sub_52949,640.67,2023-06-12
inv_90216,sub_51973,848.94,2024-02-03
inv_90218,sub_51160,1289.02,2024-01-20
inv_90219,sub_53690,1038.62,2023-07-29
inv_90220,sub_53897,688.85,2023-12-10
inv_90221,sub_52437,1128.76,2023-09-23
inv_90222,sub_52936,547.65,2024-05-09
inv_90223,sub_53472,1052.04,2023-05-28
inv_90224,sub_50875,1132.79,2024-04-27
inv_90225,sub_52614,1192.77,2023-02-14
