subscription_id,company_name,company_email,subscription_begin_date,cancel_date
sub_50000,Company_327,contact_327@example.com,2023-04-25,2023-05-27
sub_50001,Company_125,contact_125@example.com,2023-08-17,2023-11-16
sub_50002,Company_346,contact_346@example.com,2024-07-12,
sub_50003,Company_16,contact_16@example.com,2023-01-31,
sub_50004,Company_258,contact_258@example.com,2023-01-28,
sub_50005,Company_332,contact_332@example.com,2024-07-12,
sub_50006,Company_112,contact_112@example.com,2024-04-04,
sub_50007,Company_142,contact_142@example.com,2023-01-07,2024-02-19
sub_50008,Company_357,contact_357@example.com,2024-03-08,
sub_50009,Company_110,contact_110@example.com,2023-12-11,
sub_50010,Company_49,contact_49@example.com,2024-01-03,
sub_50011,Company_176,contact_176@example.com,2023-09-28,
sub_50012,Company_235,contact_235@example.com,2024-07-03,2024-09-24
sub_50013,Company_193,contact_193@example.com,2023-03-22,
sub_50014,Company_321,contact_321@example.com,2024-01-06,
sub_50015,Company_35,contact_35@example.com,2023-02-16,
sub_50016,Company_148,contact_148@example.com,2023-03-23,
sub_50017,Company_51,contact_51@example.com,2024-01-25,
sub_50018,Company_27,alt_27@example.com,2024-01-09,
sub_50019,Company_107,contact_107@example.com,2023-10-01,2024-10-14
sub_50020,Company_331,contact_331@example.com,2023-03-15,2024-02-09
sub_50021,Company_273,contact_273@example.com,2023-09-08,
sub_50022,Company_138,contact_138@example.com,2024-07-24,2024-12-03
sub_50023,Company_31,alt_31@example.com,2023-02-27,2023-07-14
sub_50024,Company_12,alt_12@example.com,2023-11-20,
sub_50025,Company_108,contact_108@example.com,2024-08-03,
sub_50026,Company_367,contact_367@example.com,2023-11-19,2024-03-26
sub_50027,Company_202,contact_202@example.com,2024-04-14,
sub_50028,Company_126,contact_126@example.com,2024-07-28,
sub_50029,Company_134,contact_134@example.com,2024-08-21,
sub_50030,Company_298,contact_298@example.com,2024-02-13,
sub_50032,Company_46,contact_46@example.com,2023-02-18,
sub_50033,Company_321,contact_321@example.com,2023-06-13,2024-08-11
sub_50034,Company_305,contact_305@example.com,2023-03-07,
sub_50035,Company_239,contact_239@example.com,2024-06-25,2024-11-20
sub_50036,Company_5,contact_5@example.com,2023-04-28,2024-05-01
sub_50037,Company_384,contact_384@example.com,2023-10-01,2024-11-17
sub_50038,Company_57,contact_57@example.com,2023-10-28,
sub_50039,Company_1,contact_1@example.com,2023-09-27,2024-06-29
sub_50040,Company_259,contact_259@example.com,2023-04-19,2024-07-27
sub_50041,Company_30,alt_30@example.com,2024-06-03,
sub_50042,Company_101,contact_101@example.com,2023-06-06,2024-01-03
sub_50043,Company_276,contact_276@example.com,2024-06-27,
sub_50044,Company_0,contact_0@example.com,2023-11-28,
sub_50045,Company_185,contact_185@example.com,2023-11-11,
sub_50046,Company_290,contact_290@example.com,2023-03-22,2023-05-24
sub_50047,Company_17,alt_17@example.com,2023-03-12,
sub_50048,Company_64,contact_64@example.com,2023-05-12,
sub_50049,Company_281,contact_281@example.com,2023-06-19,
sub_50050,Company_310,contact_310@example.com,2024-03-09,2024-07-15
sub_50051,Company_386,contact_386@example.com,2023-07-25,
