account_id,subscription_id,company_name,company_email,transaction_amount,transaction_date
acc_981,sub_52628,Company_233,contact_233@ex.com,609.48,2024-12-13
acc_519,sub_52884,Company_236,contact_236@ex.com,425.78,2023-02-28
acc_1172,sub_53977,Company_1,alt_1@example.com,1238.52,2024-04-27
acc_1295,sub_52488,Company_195,contact_195@ex.com,692.63,2023-06-27
acc_1327,sub_51939,Company_186,contact_186@ex.com,1.0,2023-04-17
acc_757,sub_50156,Company_90,contact_90@exa.com,62.68,2024-12-31
acc_1446,sub_50627,Company_187,contact_187@ex.com,1.0,2023-05-15
acc_860,sub_50339,Company_17,contact_17@exa.com,1254.42,2023-05-03
acc_909,sub_50229,Company_247,contact_247@ex.com,963.47,2023-03-05
acc_200,sub_51287,Company_224,contact_224@ex.com,1.0,2023-10-12
acc_398,sub_53492,Company_5,contact_5@exam.com,989.56,2023-01-18
acc_1377,sub_51362,Company_350,contact_350@ex.com,1.0,2023-11-21
acc_1453,sub_53677,Company_36,alt_36@example.com,270.44,2024-08-23
acc_751,sub_52957,Company_289,contact_289@ex.com,784.18,2024-11-11
acc_853,sub_51651,Company_48,contact_48@exa.com,1259.82,2024-11-16
acc_134,sub_50251,Company_1,contact_1@exam.com,305.55,2024-05-28
acc_1493,sub_50604,Company_160,contact_160@ex.com,414.62,2023-06-26
acc_92,sub_51816,Company_166,contact_166@ex.com,427.78,2023-07-23
acc_1036,sub_52820,Company_262,contact_262@ex.com,625.69,2024-10-12
acc_7,sub_53059,Company_247,contact_247@ex.com,480.52,2024-07-28
acc_242,sub_51436,Company_156,contact_156@ex.com,525.35,2024-08-04
acc_1427,sub_53424,Company_282,contact_282@ex.com,147.42,2024-04-19
acc_239,sub_50361,Company_275,contact_275@ex.com,1.0,2023-07-06
acc_177,sub_52988,Company_120,contact_120@ex.com,294.78,2024-08-28
acc_42,sub_52566,Company_312,contact_312@ex.com,1.0,2023-01-11
acc_1307,sub_50890,Company_250,contact_250@ex.com,574.3,2023-03-25
acc_1484,sub_53593,Company_141,contact_141@ex.com,1.0,2023-11-12
acc_1395,sub_53429,Company_337,contact_337@ex.com,970.63,2023-07-15
acc_272,sub_53061,Company_100,contact_100@ex.com,479.52,2024-01-24
acc_588,sub_52891,Company_17,contact_17@exa.com,283.45,2023-05-24
acc_647,sub_52314,Company_392,contact_392@ex.com,632.69,2023-07-12
acc_1429,sub_51062,Company_76,contact_76@exa.com,670.61,2023-04-05
acc_728,sub_52006,Company_64,contact_64@exa.com,876.47,2023-12-24
acc_1315,sub_53163,Company_54,contact_54@exa.com,794.1,2024-10-08
acc_350,sub_52814,Company_180,contact_180@ex.com,74.36,2024-08-22
acc_319,sub_51579,Company_195,contact_195@ex.com,816.16,2023-08-04
acc_889,sub_52876,Company_390,contact_390@ex.com,533.44,2024-11-29
acc_592,sub_53261,Company_307,contact_307@ex.com,327.02,2024-12-17
acc_1032,sub_53966,Company_115,contact_115@ex.com,836.38,2023-10-03
acc_1052,sub_50371,Company_46,contact_46@exa.com,1164.65,2023-09-22
acc_958,sub_50893,Company_180,contact_180@ex.com,406.05,2023-04-29
acc_1349,sub_52117,Company_26,contact_26@exa.com,954.05,2024-05-01
acc_957,sub_50572,Company_80,contact_80@exa.com,888.49,2024-01-17
acc_774,sub_52309,Company_68,contact_68@exa.com,994.29,2023-02-04
acc_1437,sub_51320,Company_324,contact_324@ex.com,174.83,2024-01-03
acc_17,sub_53560,Company_115,contact_115@ex.com,254.95,2024-05-01
acc_690,sub_51370,Company_376,contact_376@ex.com,978.86,2023-04-13
acc_734,sub_50766,Company_262,contact_262@ex.com,473.29,2024-04-23
acc_382,sub_52239,Company_132,contact_132@ex.com,1.0,2024-03-25
acc_1263,sub_53314,Company_30,contact_30@exa.com,695.54,2024-08-12
acc_891,sub_52844,Company_16,contact_16@exa.com,1101.81,2024-04-29
acc_499,sub_53416,Company_145,contact_145@ex.com,393.81,2024-01-18
acc_692,sub_52461,Company_220,contact_220@ex.com,734.19,2024-02-15
acc_83,sub_51229,Company_231,contact_231@ex.com,1.0,2023-08-28
acc_1039,sub_53125,Company_199,contact_199@ex.com,179.63,2024-03-12
acc_552,sub_53170,Company_274,contact_274@ex.com,1.0,2024-02-15
acc_59,sub_52429,Company_313,contact_313@ex.com,262.76,2023-06-20
acc_616,sub_53777,Company_32,alt_32@example.com,1332.16,2024-12-15
acc_1074,sub_53861,Company_151,contact_151@ex.com,313.72,2024-08-04
acc_286,sub_53079,Company_50,contact_50@exa.com,212.24,2023-12-08
acc_111,sub_53229,Company_81,contact_81@exa.com,1456.08,2023-11-13
acc_339,sub_51621,Company_226,contact_226@ex.com,701.67,2024-11-05
acc_411,sub_50604,Company_160,contact_160@ex.com,1.0,2023-11-05
acc_165,sub_51259,Company_358,contact_358@ex.com,293.2,2023-07-28
acc_185,sub_51788,Company_115,contact_115@ex.com,1.0,2023-06-07
acc_1138,sub_52804,Company_255,contact_255@ex.com,1.0,2024-01-19
acc_978,sub_50020,Company_331,contact_331@ex.com,255.81,2023-04-13
acc_1127,sub_51928,Company_25,contact_25@exa.com,1036.44,2024-12-16
acc_968,sub_50870,Company_256,contact_256@ex.com,1.0,2024-04-19
acc_498,sub_52892,Company_24,contact_24@exa.com,1149.32,2023-04-09
acc_264,sub_51587,Company_243,contact_243@ex.com,491.17,2023-05-17
acc_670,sub_51637,Company_231,contact_231@ex.com,1.0,2024-11-21
acc_870,sub_52991,Company_21,contact_21@exa.com,903.47,2024-06-30
acc_711,sub_50293,Company_259,contact_259@ex.com,742.7,2024-08-23
acc_455,sub_50110,Company_189,contact_189@ex.com,1.0,2023-07-02
acc_482,sub_53145,Company_25,alt_25@example.com,566.32,2023-12-15
acc_4,sub_52053,Company_132,contact_132@ex.com,923.64,2024-02-12
acc_159,sub_53746,Company_70,contact_70@exa.com,975.45,2023-05-22
acc_385,sub_52047,Company_198,contact_198@ex.com,85.49,2023-11-06
acc_191,sub_51783,Company_381,contact_381@ex.com,522.59,2024-10-31
acc_872,sub_50736,Company_386,contact_386@ex.com,243.11,2023-11-15
acc_1383,sub_51584,Company_249,contact_249@ex.com,1.0,2023-02-05
acc_864,sub_51069,Company_365,contact_365@ex.com,285.69,2024-02-12
acc_1060,sub_52794,Company_66,contact_66@exa.com,1254.66,2024-04-21
acc_170,sub_53302,Company_27,alt_27@example.com,532.5,2023-04-14
acc_829,sub_52686,Company_139,contact_139@ex.com,1.0,2023-01-13
acc_654,sub_50658,Company_202,contact_202@ex.com,210.53,2024-06-03
acc_1406,sub_51572,Company_121,contact_121@ex.com,692.94,2024-05-12
acc_1373,sub_52678,Company_345,contact_345@ex.com,614.52,2023-02-25
acc_871,sub_51240,Company_85,contact_85@exa.com,402.8,2024-10-11
acc_1237,sub_50474,Company_36,alt_36@example.com,1214.55,2024-04-06
acc_1096,sub_51372,Company_82,contact_82@exa.com,1458.22,2023-04-25
acc_367,sub_53217,Company_281,contact_281@ex.com,1.0,2024-06-28
acc_786,sub_53111,Company_78,contact_78@exa.com,1308.07,2023-03-23
acc_15,sub_50615,Company_123,contact_123@ex.com,518.93,2024-12-25
acc_529,sub_52417,Company_322,contact_322@ex.com,312.47,2024-09-21
acc_932,sub_52980,Company_101,contact_101@ex.com,663.63,2024-04-20
acc_82,sub_51153,Company_38,alt_38@example.com,199.9,2024-05-16
acc_752,sub_51885,Company_392,contact_392@ex.com,94.11,2024-09-05
acc_757,sub_52811,Company_217,contact_217@ex.com,393.44,2023-12-12
acc_607,sub_52764,Company_4,contact_4@exam.com,1154.91,2023-01-25
acc_548,sub_52223,Company_243,contact_243@ex.com,284.52,2024-01-01
acc_36,sub_51708,Company_345,contact_345@ex.com,681.22,2023-11-01
acc_73,sub_52604,Company_258,contact_258@ex.com,901.75,2024-01-01
acc_75,sub_52997,Company_122,contact_122@ex.com,806.28,2024-02-10
acc_359,sub_51018,Company_288,contact_288@ex.com,144.39,2023-04-07
acc_1489,sub_50516,Company_318,contact_318@ex.com,234.07,2024-05-20
acc_563,sub_51765,Company_56,contact_56@exa.com,531.17,2024-04-14
acc_1265,sub_52822,Company_116,contact_116@ex.com,381.27,2024-06-20
acc_939,sub_52330,Company_193,contact_193@ex.com,80.15,2023-12-01
acc_79,sub_51526,Company_11,alt_11@example.com,237.19,2024-10-15
acc_208,sub_53327,Company_53,contact_53@exa.com,585.23,2023-03-22
acc_1305,sub_51383,Company_111,contact_111@ex.com,1128.92,2024-03-08
acc_46,sub_51641,Company_372,contact_372@ex.com,292.22,2023-09-21
acc_1338,sub_52955,Company_301,contact_301@ex.com,1.0,2023-03-23
acc_888,sub_53427,Company_20,alt_20@example.com,1448.44,2023-07-16
acc_535,sub_52338,Company_33,contact_33@exa.com,1492.48,2024-09-22
acc_1105,sub_52105,Company_255,contact_255@ex.com,1.0,2023-09-07
acc_101,sub_52843,Company_11,contact_11@exa.com,573.87,2024-04-29
acc_895,sub_50881,Company_236,contact_236@ex.com,426.68,2024-12-06
acc_381,sub_53187,Company_127,contact_127@ex.com,429.74,2024-11-18
acc_584,sub_52777,Company_319,contact_319@ex.com,423.57,2024-02-21
acc_39,sub_50848,Company_18,alt_18@example.com,1177.43,2024-11-03
acc_563,sub_50531,Company_329,contact_329@ex.com,415.24,2024-09-05
acc_1301,sub_53236,Company_26,contact_26@exa.com,490.88,2023-08-15
acc_38,sub_50920,Company_18,alt_18@example.com,1069.33,2023-08-15
acc_1253,sub_50261,Company_147,contact_147@ex.com,445.99,2024-12-30
acc_944,sub_52495,Company_26,alt_26@example.com,890.11,2024-10-12
acc_674,sub_52438,Company_136,contact_136@ex.com,821.36,2024-05-02
acc_1143,sub_53808,Company_268,contact_268@ex.com,38.6,2023-12-15
acc_710,sub_51309,Company_381,contact_381@ex.com,1.0,2023-06-05
acc_1022,sub_51892,Company_274,contact_274@ex.com,331.74,2024-12-15
acc_1379,sub_50696,Company_151,contact_151@ex.com,597.29,2024-02-17
acc_1354,sub_50132,Company_0,contact_0@exam.com,1281.39,2023-03-22
acc_997,sub_52586,Company_388,contact_388@ex.com,850.76,2023-12-20
acc_426,sub_50340,Company_374,contact_374@ex.com,1.0,2024-06-26
acc_623,sub_51512,Company_396,contact_396@ex.com,451.9,2023-11-19
acc_1382,sub_51849,Company_13,alt_13@example.com,711.72,2023-06-09
acc_1198,sub_52559,Company_61,contact_61@exa.com,266.77,2023-12-27
acc_884,sub_52313,Company_389,contact_389@ex.com,634.78,2023-01-24
acc_582,sub_53077,Company_48,contact_48@exa.com,843.53,2024-05-17
acc_769,sub_50961,Company_45,contact_45@exa.com,1383.34,2023-05-15
acc_1244,sub_51550,Company_134,contact_134@ex.com,1.0,2023-05-07
acc_811,sub_50397,Company_211,contact_211@ex.com,343.09,2023-04-24
acc_593,sub_52337,Company_159,contact_159@ex.com,284.36,2023-06-12
acc_822,sub_53141,Company_252,contact_252@ex.com,834.1,2023-12-27
acc_446,sub_53077,Company_48,contact_48@exa.com,638.91,2024-09-05
acc_655,sub_51142,Company_243,contact_243@ex.com,1.0,2024-10-07
acc_1361,sub_50432,Company_167,contact_167@ex.com,1.0,2024-10-10
acc_1303,sub_53120,Company_156,contact_156@ex.com,490.31,2024-07-02
acc_804,sub_52181,Company_277,contact_277@ex.com,353.15,2024-02-18
acc_364,sub_50642,Company_124,contact_124@ex.com,612.08,2023-01-04
acc_685,sub_52181,Company_277,contact_277@ex.com,1.0,2024-11-02
acc_1400,sub_50705,Company_258,contact_258@ex.com,1.0,2024-01-28
acc_1338,sub_52376,Company_14,contact_14@exa.com,638.79,2024-03-04
acc_387,sub_51680,Company_38,alt_38@example.com,961.9,2024-09-25
acc_284,sub_50918,Company_24,alt_24@example.com,922.36,2024-05-30
acc_1228,sub_50329,Company_154,contact_154@ex.com,864.47,2024-02-23
acc_47,sub_53872,Company_125,contact_125@ex.com,501.03,2023-09-13
acc_1166,sub_50681,Company_68,contact_68@exa.com,945.73,2024-12-01
acc_759,sub_50372,Company_10,contact_10@exa.com,53.62,2024-09-07
acc_1340,sub_53618,Company_154,contact_154@ex.com,596.22,2024-06-07
acc_396,sub_53536,Company_106,contact_106@ex.com,1.0,2023-06-15
acc_756,sub_51875,Company_266,contact_266@ex.com,1.0,2023-09-03
acc_968,sub_50717,Company_35,contact_35@exa.com,1406.97,2023-07-24
acc_272,sub_51321,Company_359,contact_359@ex.com,453.61,2023-02-01
acc_1183,sub_50847,Company_0,alt_0@example.com,702.55,2023-09-08
acc_1236,sub_52800,Company_64,contact_64@exa.com,676.61,2023-09-05
acc_363,sub_53263,Company_173,contact_173@ex.com,1.0,2024-05-27
acc_228,sub_52627,Company_262,contact_262@ex.com,1.0,2023-12-06
acc_327,sub_53572,Company_242,contact_242@ex.com,382.4,2023-03-13
acc_67,sub_50028,Company_126,contact_126@ex.com,1.0,2024-02-21
acc_1065,sub_53551,Company_260,contact_260@ex.com,1.0,2024-01-30
acc_855,sub_50288,Company_139,contact_139@ex.com,1.0,2024-07-04
acc_1466,sub_50495,Company_398,contact_398@ex.com,1.0,2024-10-24
acc_1464,sub_52187,Company_280,contact_280@ex.com,55.11,2024-05-07
acc_1487,sub_53390,Company_219,contact_219@ex.com,108.48,2024-02-12
acc_1486,sub_53392,Company_214,contact_214@ex.com,1.0,2024-01-08
acc_1468,sub_51636,Company_326,contact_326@ex.com,1.0,2024-10-06
acc_902,sub_52660,Company_23,contact_23@exa.com,654.31,2023-05-08
acc_299,sub_50424,Company_345,contact_345@ex.com,1.0,2024-08-16
acc_1345,sub_51691,Company_250,contact_250@ex.com,522.96,2023-09-06
acc_989,sub_53258,Company_196,contact_196@ex.com,330.93,2023-04-10
acc_1315,sub_51351,Company_195,contact_195@ex.com,1046.7,2024-04-14
acc_1453,sub_53683,Company_58,contact_58@exa.com,747.53,2023-09-08
acc_533,sub_53100,Company_38,alt_38@example.com,526.82,2024-12-06
acc_678,sub_51821,Company_274,contact_274@ex.com,1.0,2024-12-17
acc_1164,sub_51056,Company_65,contact_65@exa.com,427.44,2023-02-06
acc_287,sub_53118,Company_113,contact_113@ex.com,239.08,2023-10-23
acc_453,sub_50106,Company_82,contact_82@exa.com,1322.65,2024-07-31
acc_1462,sub_51485,Company_135,contact_135@ex.com,451.0,2023-06-12
acc_1299,sub_52325,Company_291,contact_291@ex.com,471.02,2024-12-31
acc_1379,sub_51801,Company_211,contact_211@ex.com,456.42,2024-12-12
acc_301,sub_50526,Company_191,contact_191@ex.com,919.03,2024-01-29
acc_1305,sub_51053,Company_322,contact_322@ex.com,357.32,2023-08-05
acc_621,sub_52388,Company_121,contact_121@ex.com,239.58,2023-01-13
acc_746,sub_51062,Company_76,contact_76@exa.com,1087.29,2024-06-13
acc_977,sub_51662,Company_305,contact_305@ex.com,935.32,2023-06-24
acc_705,sub_53982,Company_389,contact_389@ex.com,972.9,2024-08-24
acc_1027,sub_53492,Company_5,contact_5@exam.com,485.16,2024-01-19
acc_994,sub_51548,Company_9,alt_9@example.com,979.6,2024-06-21
acc_360,sub_51974,Company_195,contact_195@ex.com,736.32,2024-01-24
acc_1370,sub_50058,Company_142,contact_142@ex.com,1.0,2023-12-17
acc_634,sub_50920,Company_18,alt_18@example.com,325.52,2023-06-03
acc_1247,sub_51139,Company_387,contact_387@ex.com,1.0,2023-05-03
acc_404,sub_52662,Company_12,contact_12@exa.com,547.62,2024-04-15
acc_1308,sub_52332,Company_23,contact_23@exa.com,1361.33,2024-06-20
acc_468,sub_53678,Company_54,contact_54@exa.com,1117.24,2024-01-08
acc_68,sub_52720,Company_0,alt_0@example.com,609.77,2023-04-12
acc_675,sub_53899,Company_85,contact_85@exa.com,770.98,2023-10-05
acc_1096,sub_52266,Company_64,contact_64@exa.com,1272.98,2024-07-04
acc_1161,sub_51829,Company_27,contact_27@exa.com,793.96,2023-09-08
acc_375,sub_51048,Company_231,contact_231@ex.com,1.0,2024-10-28
acc_502,sub_53512,Company_232,contact_232@ex.com,357.94,2024-04-12
acc_83,sub_50726,Company_152,contact_152@ex.com,1.0,2023-09-30
acc_569,sub_52260,Company_8,contact_8@exam.com,155.21,2023-07-14
acc_131,sub_53003,Company_127,contact_127@ex.com,1.0,2023-05-16
acc_621,sub_52140,Company_296,contact_296@ex.com,110.08,2023-08-22
acc_1200,sub_50999,Company_383,contact_383@ex.com,1.0,2024-05-03
acc_202,sub_51901,Company_0,alt_0@example.com,814.66,2023-02-22
acc_1299,sub_51306,Company_120,contact_120@ex.com,128.12,2024-05-04
acc_906,sub_50476,Company_335,contact_335@ex.com,143.41,2023-07-22
acc_1111,sub_50409,Company_79,contact_79@exa.com,892.28,2024-09-04
acc_615,sub_51995,Company_8,alt_8@example.com,862.61,2024-08-18
acc_229,sub_51760,Company_74,contact_74@exa.com,1085.57,2024-03-29
acc_1317,sub_53184,Company_377,contact_377@ex.com,308.3,2024-10-12
acc_935,sub_52516,Company_14,alt_14@example.com,1488.51,2023-09-15
acc_834,sub_53090,Company_287,contact_287@ex.com,910.0,2024-05-19
acc_362,sub_52585,Company_395,contact_395@ex.com,506.39,2024-05-09
acc_582,sub_52106,Company_154,contact_154@ex.com,1.0,2023-11-03
acc_1090,sub_51082,Company_162,contact_162@ex.com,388.55,2023-10-09
acc_1150,sub_52776,Company_1,contact_1@exam.com,764.53,2024-10-02
acc_229,sub_51802,Company_20,alt_20@example.com,1466.3,2023-07-06
acc_14,sub_51997,Company_398,contact_398@ex.com,492.43,2024-06-05
acc_1016,sub_51927,Company_66,contact_66@exa.com,261.43,2023-03-09
acc_885,sub_53114,Company_56,contact_56@exa.com,1016.0,2023-04-07
acc_908,sub_53790,Company_259,contact_259@ex.com,526.8,2024-12-04
acc_375,sub_52206,Company_245,contact_245@ex.com,306.52,2023-04-22
acc_475,sub_53124,Company_24,contact_24@exa.com,335.56,2024-05-28
acc_656,sub_51250,Company_333,contact_333@ex.com,1154.3,2024-04-28
acc_1403,sub_50421,Company_189,contact_189@ex.com,464.09,2024-09-16
acc_394,sub_50640,Company_116,contact_116@ex.com,1.0,2023-06-25
acc_324,sub_53491,Company_160,contact_160@ex.com,922.98,2023-06-10
acc_1058,sub_51333,Company_260,contact_260@ex.com,1.0,2024-10-31
acc_854,sub_52438,Company_136,contact_136@ex.com,1.0,2023-10-03
acc_539,sub_50936,Company_231,contact_231@ex.com,718.53,2023-11-07
acc_297,sub_51518,Company_74,contact_74@exa.com,473.22,2023-12-29
acc_646,sub_53396,Company_305,contact_305@ex.com,685.57,2024-03-11
acc_806,sub_52307,Company_75,contact_75@exa.com,1148.79,2023-01-06
acc_828,sub_53122,Company_358,contact_358@ex.com,101.85,2024-02-23
acc_1323,sub_51448,Company_38,alt_38@example.com,1211.95,2024-04-12
